Network,Label,Vertices,Mean ICC,SD ICC,Minimum ICC,Q1 ICC,Median ICC,Q3 ICC,IQR ICC,Maximum ICC,ICC < 0.40 (%),ICC >= 0.60 (%),ICC >= 0.75 (%)
DorsalAttention,3,6503,0.7774682342227048,0.08587421417248964,0.3542495667934418,0.7279457747936249,0.7901005744934082,0.8420726954936981,0.11412692070007324,0.9529059529304504,0.06151007227433493,96.26326310933415,66.99984622481932
Frontoparietal,6,7510,0.7502131457439315,0.12021824982904657,0.017624910920858383,0.6981626152992249,0.7771416306495667,0.8328788429498672,0.1347162276506424,0.945210874080658,1.770972037283622,89.2809587217044,60.918774966711055
DefaultMode,7,11882,0.7271113350662624,0.12485173561780698,0.1020662784576416,0.650129571557045,0.7445551156997681,0.8216853588819504,0.1715557873249054,0.9602616429328918,1.3465746507321998,84.5143915165797,48.40935869382259
Visual,1,8336,0.7157714843004584,0.10497938774247088,0.07366546243429184,0.6562640815973282,0.7331522405147552,0.794507697224617,0.13824361562728882,0.9155828952789307,1.199616122840691,87.26007677543186,43.67802303262956
VentralAttention,4,7336,0.672659467588125,0.13407858452108465,-0.03553483262658119,0.5924190878868103,0.690800666809082,0.7725106477737427,0.18009155988693237,0.9628570079803467,3.3942202835332607,73.30970556161395,32.06106870229007
Somatomotor,2,12410,0.5991886746849772,0.12037629125767962,0.10549485683441162,0.5167237967252731,0.5982474684715271,0.6808229237794876,0.16409912705421448,0.9409358501434326,4.923448831587429,49.42788074133763,10.95890410958904
Limbic,5,3577,0.49708812623325116,0.14903569304588402,-0.11104031652212143,0.4030973017215729,0.5132214426994324,0.6041437983512878,0.20104649662971497,0.8522049784660339,24.433883142298015,25.719876991892647,2.767682415431926
