Metric,Value
Mean (raw),0.8794423349487316
SD (raw),0.04200676524957354
Minimum (raw),0.7655236068346901
Maximum (raw),0.935925425824845
Mean (demeaned),0.645443326664452
SD (demeaned),0.09015214783133434
Minimum (demeaned),0.3384713079497641
Maximum (demeaned),0.7875553932589161
