N_participants_with_valid_data,N_vertices,Percent_of_cortex
43,58435,98.3555510671245
42,703,1.1832626405439979
41,177,0.29791961219955565
40,45,0.07574227428802262
39,30,0.05049484952534841
38,8,0.013465293206759576
37,4,0.006732646603379788
36,3,0.005049484952534841
35,4,0.006732646603379788
34,2,0.003366323301689894
33,1,0.001683161650844947
