Subject,Pearson_r
103818,0.9157756795975762
105923,0.9152161757855096
111312,0.9075744675368688
114823,0.8914395269133486
115320,0.8846718617946392
122317,0.9247164727520195
125525,0.8235303708472991
130518,0.8968763276541551
135528,0.893327309599139
137128,0.820584163896351
139839,0.918762898529868
143325,0.9121256590263653
144226,0.8605674504022801
146129,0.9289981182428103
149337,0.8869929271692292
149741,0.8962113639576825
151526,0.8452463383619974
158035,0.8885890884125645
169343,0.8691294798564977
172332,0.8401636899744009
175439,0.7655236068346901
177746,0.8946332847286873
185442,0.9147496762409246
187547,0.9188340592565484
192439,0.8885137044208108
194140,0.8296558352042759
195041,0.7904525768410158
200109,0.901331562675185
200614,0.8976772881402626
204521,0.812139164722188
250427,0.8950103019912677
287248,0.9022671600083222
433839,0.8568375317901786
562345,0.9075708940297924
599671,0.935925425824845
601127,0.9164563516900113
660951,0.882816285410577
662551,0.8782372355229422
783462,0.9089561051010324
859671,0.8007227660382296
861456,0.9009123941824021
877168,0.7992028026803184
917255,0.8970950191503503
