Subject,Test_mean,Retest_mean
103818,315.15540740816294,329.0249163038094
105923,280.9231906910781,295.42619336846724
111312,334.3250495515248,312.388597342514
114823,299.32394905958654,304.2876889886487
115320,316.49015469452394,298.4110761886616
122317,318.7025538396002,305.4183311918429
125525,324.31744385870235,307.2660617771215
130518,378.75060730961576,377.1231144432701
135528,299.3071101947104,309.9489934095893
137128,317.5050581949549,296.50125500695214
139839,275.1202910378693,264.9322865477363
143325,331.3279445332084,342.2770699078745
144226,345.4630334137225,294.6406343420948
146129,332.78576538290463,351.66005584536407
149337,325.6126053175167,310.061116960128
149741,280.0106966379634,275.8998340785626
151526,393.09024808016693,370.84937188852
158035,266.6460523566973,258.8720339711507
169343,287.9240825661488,295.36231918320834
172332,308.29901255957606,318.25118054042616
175439,311.1372916742883,379.04825492853877
177746,259.088673060867,257.67272295109177
185442,285.68110979439314,305.66450596014687
187547,280.57503543506397,288.29980338153405
192439,298.03737111029443,282.9270795201564
194140,348.6761266080384,390.52102763209115
195041,294.21402620047525,361.8814379152419
200109,261.45169240541577,265.9596852043948
200614,311.643271135486,324.66512068225074
204521,286.5350551769026,340.729987209793
250427,333.8589449107996,335.41955446782356
287248,323.0193922927923,288.6611721434727
433839,287.88357514367846,257.45685613134094
562345,397.5747977454934,372.5840258559315
599671,367.0015538046326,384.0996961296744
601127,320.01028375247944,314.66417520021776
660951,310.354424948057,290.3237633714533
662551,296.1740271065377,318.22146702914534
783462,314.529634966048,319.0528005973841
859671,295.5278807701208,284.41354188831383
861456,328.61037359430986,308.19684411386265
877168,328.24106679015523,312.9678285813316
917255,281.21845204581604,292.12784042309573
