Network,Pearson r,Pearson p,Spearman rho,Spearman p,"ICC(2,1)"
Visual,0.7830526815539072,5.458508593791289e-10,0.7287828450619148,3.009294125626114e-08,0.7693005050743941
Somatomotor,0.5609984427941508,9.108096654327418e-05,0.5299003322259136,0.00025778147939438736,0.5657789325924257
DorsalAttention,0.7525418338879247,5.901013139508348e-09,0.7241014799154333,4.066841749991287e-08,0.7489167991306873
VentralAttention,0.7063661382554393,1.2071015610626363e-07,0.7179099969797644,6.001210737722419e-08,0.7098995649320572
Limbic,0.6645319418271689,1.1769029421017975e-06,0.5616128057988523,8.913430602791798e-05,0.6453606332443477
Frontoparietal,0.7512537148935416,6.475772112910866e-09,0.744035034732709,1.0791433184673221e-08,0.7550707672934741
DefaultMode,0.7862082960381811,4.1758325058677207e-10,0.7839021443672607,5.080992271050356e-10,0.7876051402276332
