Network,Label,Vertices,Mean ICC,Median ICC,Minimum ICC,Maximum ICC,ICC > 0.40 (%),ICC > 0.60 (%),ICC > 0.75 (%)
Visual,1,8336,0.7157714843004584,0.7331522405147552,0.07366546243429184,0.9155828952789307,98.8003838771593,87.26007677543186,43.67802303262956
Somatomotor,2,12410,0.5991886746849772,0.5982474684715271,0.10549485683441162,0.9409358501434326,95.07655116841256,49.42788074133763,10.95890410958904
DorsalAttention,3,6503,0.7774682342227048,0.7901005744934082,0.3542495667934418,0.9529059529304504,99.93848992772566,96.26326310933415,66.99984622481932
VentralAttention,4,7336,0.672659467588125,0.690800666809082,-0.03553483262658119,0.9628570079803467,96.60577971646674,73.30970556161395,32.06106870229007
Limbic,5,3577,0.49708812623325116,0.5132214426994324,-0.11104031652212143,0.8522049784660339,75.56611685770199,25.719876991892647,2.767682415431926
Frontoparietal,6,7510,0.7502131457439315,0.7771416306495667,0.017624910920858383,0.945210874080658,98.22902796271637,89.2809587217044,60.918774966711055
DefaultMode,7,11882,0.7271113350662624,0.7445551156997681,0.1020662784576416,0.9602616429328918,98.65342534926779,84.5143915165797,48.40935869382259
