Top (%),N vertices,Vertices per set,Observed overlap,Observed overlap (%),Expected overlap,Expected overlap (%),Dice coefficient,Enrichment,Hypergeometric p
5,59412,2971,2704,91.01312689330192,148.57000269305865,5.000673264660338,0.9101312689330192,18.200174671776686,0.0
10,59412,5942,5566,93.67216425445977,594.2800107722346,10.001346529320676,0.9367216425445978,9.365955272106973,0.0
