Metric,Value
Participants,43.0
Valid vertices,58435.0
Mean ICC,0.6817715046345895
Median ICC,0.7045845085991228
Minimum ICC,-0.1110403201233408
Maximum ICC,0.96285700463384
ICC > 0.40 (%),95.8483785402584
ICC > 0.60 (%),73.2523316505519
ICC > 0.75 (%),37.88654060066741
