Map,Testable vertices,Significant (uncorrected p < .05),Significant (FDR q < .05),Percent significant (uncorrected),Percent significant (FDR)
Test,59412,59412,59412,100.0,100.0
Retest,59412,59412,59412,100.0,100.0
