Subject,Raw_Pearson_r,Demeaned_Pearson_r
103818,0.9157756795975762,0.7018816109585356
105923,0.9152161757855096,0.6568954287430065
111312,0.9075744675368688,0.7210440623225226
114823,0.8914395269133486,0.5823449876989367
115320,0.8846718617946392,0.6771876745068816
122317,0.9247164727520195,0.7041070645770995
125525,0.8235303708472991,0.5987117978600801
130518,0.8968763276541551,0.6450967486471185
135528,0.893327309599139,0.655200432586758
137128,0.820584163896351,0.5015614364610099
139839,0.918762898529868,0.7528495669323931
143325,0.9121256590263653,0.7320408163070966
144226,0.8605674504022801,0.642583604612097
146129,0.9289981182428103,0.752153987028583
149337,0.8869929271692292,0.6704977357695627
149741,0.8962113639576825,0.6745874602306885
151526,0.8452463383619974,0.5854117820216916
158035,0.8885890884125645,0.7769343866798026
169343,0.8691294798564977,0.6537667262340137
172332,0.8401636899744009,0.5606116144472452
175439,0.7655236068346901,0.3384713079497641
177746,0.8946332847286873,0.7689651310652059
185442,0.9147496762409246,0.6640320637198025
187547,0.9188340592565484,0.6671268672899613
192439,0.8885137044208108,0.6965590534788345
194140,0.8296558352042759,0.5385145359998563
195041,0.7904525768410158,0.4521743886438745
200109,0.901331562675185,0.6315334656909107
200614,0.8976772881402626,0.6906379658073969
204521,0.812139164722188,0.651074356930497
250427,0.8950103019912677,0.6742207472836045
287248,0.9022671600083222,0.6404444484040357
433839,0.8568375317901786,0.5879064967817638
562345,0.9075708940297924,0.6724778909178154
599671,0.935925425824845,0.7875553932589161
601127,0.9164563516900113,0.6993043977653461
660951,0.882816285410577,0.6353590606337526
662551,0.8782372355229422,0.5328563444276633
783462,0.9089561051010324,0.6872297186892848
859671,0.8007227660382296,0.6224257056537379
861456,0.9009123941824021,0.6804103238544329
877168,0.7992028026803184,0.47752001859747273
917255,0.8970950191503503,0.7117944391023813
